sex,Живи с подругой!,Уютное гнездышко / поиск жилья и соседей /Резерв,ALKOSHMOT,alkoshmot,Феминизм: наглядно.,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Феминизм: наглядно,Мой аборт | #ЗаВыбор,Подслушано Феминизм 18+,Краевой кризисный центр для женщин,КРИЗИСНЫЙ ЦЕНТР ПОМОЩИ ЖЕНЩИНАМ И ДЕТЯМ,Кризисный центр для женщин с детьми,Кризисный центр для женщин с детьми,Кризисный центр для женщин с детьми,Кризисный центр для женщин с детьми,Дом Отца (кризисный центр для женщин),Кризисный центр помощи женщинам и детям,Кризисный центр поддержки женщин «Ангел»,"ГКУСОН РО ""Кризисный центр""",Кризисный центр «Крымский дом для мамы»,"Кризисный центр ""Гнездо""(онлайн)",Кризисный психолог для женщин | Анна Ермолаева
0.0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5153,0,20092,786,15071,0,0,1587,0,0,1587,0,0,1587,5546,0,108,429,58,18,58,18,60,310,0,0,0,0,0
2.0,675,0,5482,150,2357,0,0,115,0,0,115,0,0,115,798,0,4,31,11,1,11,1,51,61,0,0,0,0,0
